symbol,exchange,pattern,direction,prob,avg_win,avg_loss,rrr,match_count,signal,reason,passed,test_matches,test_prob,test_rrr
FAST,NASDAQ,+-,LONG,53.31,1.62,1.55,1.05,891,NO-TRADE,Prob 53.3% <= 55.0%,False,42,45.24,1.34
MRVL,NASDAQ,+,SHORT,50.58,1.78,1.98,0.9,2760,NO-TRADE,Prob 50.6% <= 55.0%,False,352,53.41,1.02
VRSK,NASDAQ,++,SHORT,55.48,0.86,0.83,1.04,602,SELL,"Prob 55.5% >= 55.0%, match_count 602 >= 25",True,50,40.0,1.05
CPRT,NASDAQ,+-+,LONG,54.35,1.5,1.53,0.98,184,NO-TRADE,Prob 54.4% <= 55.0%,False,14,35.71,0.36
SIRI,NASDAQ,+++,SHORT,56.52,3.91,1.84,2.12,184,SELL,"Prob 56.5% >= 55.0%, match_count 184 >= 25",True,6,83.33,0.13
DLTR,NASDAQ,-,LONG,55.28,1.48,1.24,1.2,1789,BUY,"Prob 55.3% >= 55.0%, match_count 1789 >= 25",True,226,52.65,0.95
WBD,NASDAQ,++,SHORT,52.14,1.48,1.33,1.11,1005,NO-TRADE,Prob 52.1% <= 55.0%,False,58,53.45,1.04
ENPH,NASDAQ,++,LONG,50.78,4.52,3.23,1.4,386,NO-TRADE,Prob 50.8% <= 55.0%,False,35,48.57,0.47
FANG,NASDAQ,+,LONG,55.56,1.68,1.71,0.98,882,BUY,"Prob 55.6% >= 55.0%, match_count 882 >= 25",True,339,52.8,0.99
BKR,NASDAQ,+++,LONG,55.16,1.41,1.77,0.8,252,BUY,"Prob 55.2% >= 55.0%, match_count 252 >= 25",True,8,37.5,3.15
MELI,NASDAQ,+,LONG,51.33,2.14,2.22,0.97,2445,NO-TRADE,Prob 51.3% <= 55.0%,False,319,49.84,1.05
ILMN,NASDAQ,++,LONG,53.33,1.82,1.72,1.06,977,NO-TRADE,Prob 53.3% <= 55.0%,False,42,42.86,0.74
JD,NASDAQ,+-+,LONG,57.81,2.44,3.41,0.71,64,BUY,"Prob 57.8% >= 55.0%, match_count 64 >= 25",True,7,71.43,0.54
NTES,NASDAQ,-,LONG,51.62,1.99,2.04,0.97,2071,NO-TRADE,Prob 51.6% <= 55.0%,False,287,57.49,1.03
BIDU,NASDAQ,++,LONG,54.52,2.17,2.08,1.04,1007,NO-TRADE,Prob 54.5% <= 55.0%,False,51,45.1,0.87
700,HKEX,+,SHORT,48.55,1.58,1.56,1.01,2303,SELL,"Prob 48.5% >= 48.0%, match_count 2303 >= 25",True,320,46.25,0.89
1211,HKEX,+--,LONG,51.56,2.92,3.34,0.88,192,BUY,"Prob 51.6% >= 48.0%, match_count 192 >= 25",True,2,50.0,0.92
2330,TWSE,+,SHORT,47.46,1.35,1.11,1.22,2693,NO-TRADE,Prob 47.5% <= 55.0%,False,377,38.99,1.16
2454,TWSE,---,LONG,57.95,2.35,2.37,0.99,352,BUY,"Prob 58.0% >= 55.0%, match_count 352 >= 25",True,9,55.56,0.64
2317,TWSE,+-,LONG,53.55,1.71,1.67,1.02,803,NO-TRADE,Prob 53.5% <= 55.0%,False,46,36.96,1.12
2303,TWSE,+--,SHORT,49.74,1.83,1.95,0.94,195,NO-TRADE,Prob 49.7% <= 55.0%,False,5,40.0,0.68
2308,TWSE,+-+,SHORT,53.6,1.39,1.21,1.15,278,NO-TRADE,Prob 53.6% <= 55.0%,False,7,42.86,1.14
2382,TWSE,+--,LONG,49.11,1.3,1.52,0.85,224,NO-TRADE,Prob 49.1% <= 55.0%,False,6,83.33,0.66
3008,TWSE,+,SHORT,51.05,2.01,2.14,0.94,2664,NO-TRADE,Prob 51.0% <= 55.0%,False,316,58.86,1.01
2357,TWSE,-,LONG,51.34,1.63,1.55,1.05,2045,NO-TRADE,Prob 51.3% <= 55.0%,False,288,51.04,1.08
2395,TWSE,+,SHORT,48.99,1.44,1.39,1.04,2433,NO-TRADE,Prob 49.0% <= 55.0%,False,338,53.55,1.24
